"filename", "language", "PHP", "JSON", "Markdown", "XML", "HTML", "JavaScript", "PostCSS", "comment", "blank", "total"
"d:\wamp\www\Supply\database\migrations\2026_03_04_000001_add_pays_to_commandes.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 4, 27
"d:\wamp\www\Supply\database\migrations\2026_03_04_000002_fix_delivery_tracking_table_name.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 12, 7, 62
"d:\wamp\www\Supply\database\migrations\2026_03_04_fix_vendor_status_column.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 2, 5, 22
"d:\wamp\www\Supply\database\migrations\2026_03_05_012037_add_lu_column_to_avis_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"d:\wamp\www\Supply\database\seeders\AdminSeeder.php", "PHP", 103, 0, 0, 0, 0, 0, 0, 5, 17, 125
"d:\wamp\www\Supply\database\seeders\CiLocationSeeder.php", "PHP", 94, 0, 0, 0, 0, 0, 0, 8, 14, 116
"d:\wamp\www\Supply\database\seeders\CiLocationsSeeder.php", "PHP", 117, 0, 0, 0, 0, 0, 0, 7, 14, 138
"d:\wamp\www\Supply\database\seeders\CoteIvoireLocationSeeder.php", "PHP", 145, 0, 0, 0, 0, 0, 0, 16, 20, 181
"d:\wamp\www\Supply\database\seeders\CreateTestShopSeeder.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 5, 6, 41
"d:\wamp\www\Supply\database\seeders\DatabaseSeeder.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 3, 5, 25
"d:\wamp\www\Supply\database\seeders\FixProductPrices.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 4, 6, 44
"d:\wamp\www\Supply\database\seeders\ImageCategorieSeeder.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 1, 5, 27
"d:\wamp\www\Supply\database\seeders\ImageProduitSeeder.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 1, 5, 39
"d:\wamp\www\Supply\database\seeders\ProduitSeeder.php", "PHP", 133, 0, 0, 0, 0, 0, 0, 32, 31, 196
"d:\wamp\www\Supply\database\seeders\SimpleProduitSeeder.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 8, 12, 64
"d:\wamp\www\Supply\database\seeders\TestAccountsSeeder.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 5, 6, 45
"d:\wamp\www\Supply\database\seeders\TestUserSeeder.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 2, 5, 46
